timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,alerts
1779521768.054,171.6,89.5,32.4,danger,optimal,optimal,—,—,—,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521769.055,170.6,89.1,32.2,danger,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521770.055,167.7,90.0,31.9,danger,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521771.056,166.5,91.1,31.7,danger,optimal,optimal,↓ decreasing,↑ increasing,↓ decreasing,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521779.06,166.1,89.9,32.1,danger,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521780.06,167.3,90.3,32.2,danger,optimal,optimal,↓ decreasing,↑ increasing,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521781.06,167.6,88.5,32.1,danger,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521782.061,169.1,90.2,31.7,danger,optimal,optimal,↓ decreasing,↑ increasing,↓ decreasing,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521783.061,166.4,88.8,32.2,danger,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521784.061,166.6,89.9,32.0,danger,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521785.062,167.7,89.1,32.0,danger,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521786.063,170.2,89.6,31.8,danger,optimal,optimal,↓ decreasing,→ stable,↓ decreasing,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits|💨 PRESSURE_LEAK: Tire pressure dropping
1779521787.064,171.8,90.7,32.4,danger,optimal,optimal,→ stable,↑ increasing,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521788.065,169.9,88.5,32.1,danger,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
1779521789.066,167.7,88.7,31.8,danger,optimal,optimal,↓ decreasing,↓ decreasing,↓ decreasing,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits|💨 PRESSURE_LEAK: Tire pressure dropping
1779521790.066,166.9,89.7,32.3,danger,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,⚠️ EXCESSIVE_SPEED: Vehicle speed exceeds safe limits
