timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,engine_rpm,oil_pressure_psi,battery_voltage_v,tire_pressure_fl_psi,tire_pressure_fr_psi,tire_pressure_rl_psi,tire_pressure_rr_psi,speed_status,temp_status,psi_status,rpm_status,oil_status,battery_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1780049806.241,79.5,89.5,32.4,1499.0,45.3,13.8,31.9,32.3,32.2,32.3,optimal,optimal,optimal,optimal,optimal,optimal,—,—,—,99.9,✅ EXCELLENT,False,NONE,3.0,0.1,NONE
1780049807.241,78.0,90.4,32.3,1484.0,45.8,13.84,31.9,32.3,32.3,32.2,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.0,0.0,NONE
1780049808.242,82.5,90.3,32.4,1535.0,45.2,13.77,31.7,32.2,32.1,31.9,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.1,0.0,NONE
1780049809.242,81.4,89.7,31.7,1459.0,44.6,13.83,32.3,31.9,32.0,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,↓ decreasing,99.9,✅ EXCELLENT,False,NONE,3.8,0.0,NONE
1780049810.243,80.7,90.3,32.0,1456.0,44.6,13.83,32.4,31.7,31.6,31.6,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.5,0.0,NONE
1780049811.244,82.0,90.9,32.0,1505.0,45.0,13.76,32.3,31.7,31.9,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.5,0.0,NONE
1780049812.245,78.7,90.8,32.2,1478.0,45.6,13.81,32.3,31.6,31.9,31.7,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.1,0.0,NONE
1780049813.246,77.2,91.3,32.4,1498.0,44.8,13.75,32.0,32.4,32.1,32.4,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,2.9,0.0,NONE
1780049814.247,79.0,89.5,32.0,1523.0,44.7,13.81,31.7,32.3,31.7,32.2,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,99.9,✅ EXCELLENT,False,NONE,3.4,0.1,NONE
1780049815.249,79.9,89.6,32.2,1545.0,44.7,13.78,31.9,32.0,32.2,31.9,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,99.9,✅ EXCELLENT,False,NONE,3.2,0.1,NONE
1780049816.875,81.3,89.0,31.7,1463.0,45.7,13.77,32.0,32.3,31.9,32.0,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,↓ decreasing,99.9,✅ EXCELLENT,False,NONE,3.8,0.5,💨 PRESSURE_LEAK: Tire pressure dropping
1780049817.877,80.5,88.8,32.2,1500.0,44.2,13.83,32.1,31.8,32.1,31.9,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.2,0.7,NONE
1780049818.878,82.3,88.9,32.2,1534.0,44.7,13.78,31.9,32.2,31.7,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.3,0.6,NONE
1780049819.878,79.7,89.9,32.0,1507.0,46.0,13.78,31.9,31.9,32.3,32.0,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,99.9,✅ EXCELLENT,False,NONE,3.4,0.0,NONE
1780049820.878,82.7,89.1,31.7,1499.0,45.6,13.85,31.6,31.9,32.0,32.4,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,↓ decreasing,99.9,✅ EXCELLENT,False,NONE,3.9,0.4,💨 PRESSURE_LEAK: Tire pressure dropping
1780049821.878,79.1,90.5,32.2,1502.0,45.2,13.77,31.6,32.3,32.4,31.6,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,99.9,✅ EXCELLENT,False,NONE,3.2,0.0,NONE
1780049822.879,83.0,89.8,31.8,1488.0,44.5,13.83,31.8,31.8,32.0,32.4,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,↓ decreasing,99.9,✅ EXCELLENT,False,NONE,3.8,0.0,💨 PRESSURE_LEAK: Tire pressure dropping
1780049823.88,77.2,90.8,31.7,1522.0,44.2,13.79,32.4,32.0,31.9,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,↓ decreasing,99.9,✅ EXCELLENT,False,NONE,3.6,0.0,💨 PRESSURE_LEAK: Tire pressure dropping
