timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1779676962.443,80.1,90.8,32.2,optimal,optimal,optimal,—,—,—,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676963.443,78.9,89.6,32.2,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676964.443,82.5,89.8,32.0,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779676965.444,82.3,90.7,31.8,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.2,✅ EXCELLENT,False,NONE,3.8,0,NONE
1779676966.446,79.8,91.1,32.0,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779676967.446,82.6,90.0,32.2,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779676968.447,77.8,90.9,32.3,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779676969.448,81.9,91.3,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676970.449,82.0,90.6,31.9,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779676971.45,78.2,88.7,32.1,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676972.451,82.0,89.7,32.0,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779676973.452,77.9,90.3,32.4,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,97.1,✅ EXCELLENT,False,NONE,2.9,0,NONE
1779676974.453,80.7,89.9,31.7,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.2,✅ EXCELLENT,False,NONE,3.8,0,NONE
1779676975.454,81.7,91.0,31.8,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779676976.455,77.0,90.9,32.0,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779676977.456,77.5,89.1,32.2,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779676978.456,78.8,91.4,31.7,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779676979.457,78.1,91.1,31.9,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779676980.458,78.3,90.4,32.3,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779676981.458,77.4,89.9,32.1,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676982.458,78.8,89.2,32.0,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779676983.458,79.0,90.5,32.4,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,97.1,✅ EXCELLENT,False,NONE,2.9,0,NONE
1779676984.46,79.2,90.0,32.0,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779676985.461,81.6,89.7,31.9,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779676986.461,82.7,90.5,31.7,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.1,✅ EXCELLENT,False,NONE,3.9,0,NONE
1779676987.463,78.9,91.0,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779676988.465,77.7,89.8,32.1,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676989.466,78.1,90.5,32.2,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779676990.467,77.9,89.2,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779676991.468,81.7,90.9,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676992.469,82.5,90.1,32.2,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779676993.47,81.8,89.4,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676994.47,79.0,88.5,32.2,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676995.472,79.1,90.5,31.9,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779676996.472,82.3,90.8,31.8,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.2,✅ EXCELLENT,False,NONE,3.8,0,NONE
1779676997.474,80.7,89.5,32.1,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779676998.475,80.6,89.7,32.4,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779676999.475,78.1,89.7,31.8,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779677000.477,82.3,90.3,32.3,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779677001.477,77.8,90.2,31.8,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779677002.477,80.1,89.1,32.1,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779677003.478,78.4,90.4,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
