timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,alerts
1779522507.603,80.1,90.4,32.2,optimal,optimal,optimal,—,—,—,EXCELLENT,NONE
1779522508.603,82.8,90.4,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779522509.604,80.7,89.6,32.0,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779522510.605,80.6,90.6,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522511.606,81.6,90.2,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779522512.607,78.8,90.0,32.1,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779522513.607,81.4,91.2,32.3,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,EXCELLENT,NONE
1779522514.608,78.2,88.7,32.2,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779522515.61,82.3,88.7,31.9,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779522516.61,80.0,89.1,31.9,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,EXCELLENT,NONE
1779522517.611,79.6,90.5,31.9,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522518.612,77.7,88.9,32.0,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779522519.613,80.1,90.8,32.0,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522520.614,79.2,91.5,32.2,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,EXCELLENT,NONE
1779522521.615,77.8,88.9,32.3,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779522522.615,81.2,89.6,31.7,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,EXCELLENT,NONE
1779522523.616,78.7,90.7,31.8,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779522524.617,82.4,90.3,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779522525.617,79.2,90.5,32.3,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779522526.617,82.1,90.9,32.3,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779522527.618,77.5,89.9,32.0,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,EXCELLENT,NONE
1779522528.619,83.0,91.4,32.0,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,EXCELLENT,NONE
1779522529.619,78.8,91.0,32.3,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,EXCELLENT,NONE
1779522530.62,79.0,89.0,32.1,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522531.621,80.0,90.9,32.2,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,EXCELLENT,NONE
1779522532.622,77.0,90.6,31.9,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,EXCELLENT,NONE
1779522533.622,81.2,91.0,32.3,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,EXCELLENT,NONE
1779522534.622,80.9,90.6,32.2,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,EXCELLENT,NONE
1779522535.623,82.0,89.7,31.9,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779522536.623,77.3,89.3,31.6,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522537.624,80.7,88.7,31.7,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522538.624,80.1,91.1,31.9,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522539.625,82.8,91.2,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522540.626,77.7,90.8,31.7,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522541.627,79.3,89.1,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,EXCELLENT,NONE
1779522542.628,80.9,89.0,32.2,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,EXCELLENT,NONE
1779522543.629,81.0,88.9,32.2,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,EXCELLENT,NONE
1779522544.63,79.9,91.3,32.3,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,EXCELLENT,NONE
1779522545.63,79.9,89.2,32.2,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,EXCELLENT,NONE
