timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,engine_rpm,oil_pressure_psi,battery_voltage_v,tire_pressure_fl_psi,tire_pressure_fr_psi,tire_pressure_rl_psi,tire_pressure_rr_psi,speed_status,temp_status,psi_status,rpm_status,oil_status,battery_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1780185560.581,79.3,89.8,31.9,1524.0,44.4,13.82,32.3,32.1,31.9,31.7,optimal,optimal,optimal,optimal,optimal,optimal,—,—,—,100.0,✅ EXCELLENT,False,NONE,3.7,0.0,NONE
1780185561.582,81.2,89.7,31.6,1493.0,44.3,13.81,31.8,32.3,31.7,32.2,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.9,0.0,NONE
1780185562.582,77.4,90.5,32.3,1480.0,44.5,13.83,31.9,32.3,31.9,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.4,0.0,NONE
1780185563.582,80.5,88.8,32.0,1468.0,44.1,13.85,32.3,32.1,32.2,32.2,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.5,0.7,NONE
1780185564.583,79.5,90.1,31.7,1521.0,44.8,13.77,31.8,31.8,31.9,32.2,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.7,0.0,NONE
1780185565.584,80.5,91.4,32.2,1518.0,44.7,13.85,32.4,32.3,32.1,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.3,0.0,NONE
1780185566.584,78.6,90.0,31.8,1486.0,44.8,13.75,31.8,32.3,32.2,32.0,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.6,0.0,NONE
1780185567.584,77.6,90.4,32.2,1489.0,45.4,13.8,32.0,32.1,32.1,32.1,optimal,optimal,optimal,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.3,0.0,NONE
1780185568.585,80.5,88.8,31.9,1493.0,44.6,13.8,32.0,32.1,32.0,31.9,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.6,0.7,NONE
1780185569.585,81.7,89.4,31.7,1530.0,44.4,13.84,32.1,32.2,32.4,31.6,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,4.0,0.2,NONE
1780185570.585,78.8,90.5,32.0,1545.0,45.2,13.82,31.9,32.0,32.0,32.0,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.5,0.0,NONE
1780185571.586,82.0,88.6,31.9,1536.0,44.2,13.79,32.2,31.6,32.2,31.8,optimal,optimal,optimal,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,4.0,1.0,NONE
1780185572.587,78.8,89.5,31.6,1469.0,44.3,13.8,31.9,32.4,32.3,32.3,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,→ stable,→ stable,100.0,✅ EXCELLENT,False,NONE,3.8,0.1,NONE
1780185573.587,79.0,88.6,31.8,1491.0,45.0,13.85,31.8,32.3,32.1,32.3,optimal,optimal,optimal,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,100.0,✅ EXCELLENT,False,NONE,3.6,1.0,NONE
