timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1779630372.549,78.7,90.1,32.1,optimal,optimal,optimal,—,—,—,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630373.55,82.9,91.2,32.2,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630374.55,79.7,91.4,32.1,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630375.552,81.7,90.7,32.1,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630376.553,81.8,88.5,32.1,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630377.554,82.0,90.7,31.7,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.1,✅ EXCELLENT,False,NONE,3.9,0,NONE
1779630378.554,79.0,90.4,32.3,optimal,optimal,optimal,→ stable,→ stable,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630379.556,80.7,91.1,31.9,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779630380.557,81.0,90.8,32.3,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.9,✅ EXCELLENT,False,NONE,3.1,0,NONE
1779630381.558,78.8,89.0,32.1,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630382.559,80.3,88.6,31.9,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779630383.559,81.8,89.9,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.1,✅ EXCELLENT,False,NONE,3.9,0,NONE
1779630384.559,82.8,89.1,32.1,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630385.56,79.2,90.1,31.9,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779630386.56,80.8,89.0,31.9,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779630387.562,79.3,91.0,32.1,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779630388.564,78.1,88.8,32.4,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,97.1,✅ EXCELLENT,False,NONE,2.9,0,NONE
1779630389.564,79.1,89.3,32.0,optimal,optimal,optimal,→ stable,↓ decreasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630390.566,78.5,89.6,31.8,optimal,optimal,optimal,→ stable,→ stable,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779630391.566,80.4,89.2,32.4,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630392.568,80.2,90.9,32.4,optimal,optimal,optimal,↓ decreasing,↓ decreasing,→ stable,97.0,✅ EXCELLENT,False,NONE,3.0,0,NONE
1779630393.57,77.3,89.1,31.9,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630394.572,77.6,89.4,31.9,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779630395.572,77.1,91.2,32.1,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779630396.573,80.0,90.3,31.9,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779630397.574,77.9,91.0,31.7,optimal,optimal,optimal,↓ decreasing,→ stable,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
