timestamp,speed_kmh,engine_temp_c,tire_pressure_psi,speed_status,temp_status,psi_status,speed_trend,temp_trend,psi_trend,overall_health,health_status,emergency,contradictions,tire_speed_risk,temp_correlation_penalty,alerts
1779676445.036,79.1,89.4,31.8,optimal,optimal,optimal,—,—,—,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779676446.037,81.7,91.3,31.8,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779676447.038,78.1,90.0,32.1,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676448.039,81.4,91.1,31.8,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779676449.039,82.9,90.2,31.7,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.1,✅ EXCELLENT,False,NONE,3.9,0,NONE
1779676450.04,82.8,89.3,31.7,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.1,✅ EXCELLENT,False,NONE,3.9,0,NONE
1779676451.04,79.3,90.4,32.2,optimal,optimal,optimal,→ stable,↑ increasing,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676452.041,79.9,89.6,32.2,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.8,✅ EXCELLENT,False,NONE,3.2,0,NONE
1779676453.042,82.7,88.6,32.1,optimal,optimal,optimal,↑ increasing,↓ decreasing,→ stable,96.6,✅ EXCELLENT,False,NONE,3.4,0,NONE
1779676454.043,80.5,90.7,31.9,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.4,✅ EXCELLENT,False,NONE,3.6,0,NONE
1779676455.043,78.3,91.3,31.7,optimal,optimal,optimal,↓ decreasing,↑ increasing,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779676456.043,79.7,89.2,32.1,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.7,✅ EXCELLENT,False,NONE,3.3,0,NONE
1779676457.044,81.7,90.6,31.8,optimal,optimal,optimal,↑ increasing,↑ increasing,→ stable,96.3,✅ EXCELLENT,False,NONE,3.7,0,NONE
1779676458.045,82.6,89.9,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
1779676459.046,81.3,89.5,32.0,optimal,optimal,optimal,↑ increasing,→ stable,→ stable,96.5,✅ EXCELLENT,False,NONE,3.5,0,NONE
